|title|content
0|월포초 앞에서 챌린지 건강과학대학 학생회 길빵|"아침부터 초등학생들 등교할 시간에 월포초 부근에서 건과대 과잠입고 길빵하며 마스크도 안쓰고 당당하게 걸어가신 분 이 글 읽으시면 스스로 알 것 같네요.
한 조직에 속해 있다면 그에 따른 책임감도 가져야 한다는 사실을 다시한번 생각하셨으면 좋겠습니다."
0|김석호씨 당신은 위인입니다!|50대 총학생회 이후로 경남대 총학생회는 말 그대로 무근본인 사람들이 지원하게 되었습니다. 그들은 어떠한 전통성도 없으며 그저 술 먹기 좋아하고 놀기 좋아하고 다른 학우보다 높은 위치에 있다는 우월감으로 학생회를 이끌어간 사람들입니다. 현재 총학생회, 총대의원회, 중앙동아리연합회, 각 단과대 학생회, 대의원회 모두 문제가 많습니다. 눈을 떠야합니다! 진실을 바라보아야합니다! 22헉번에게 같은 비극이 되풀이되어서는 안 됩니다!
0|가족을 위한 시골밥상 (된장찌개를 끓여보자!!)|"안녕하세요 또 저에요 :)
음슴체를 사용할거임!
시집 안갈꺼임! 암튼 그럼!
우리 모두 본가 갔을때 가족을 위한 된장찌개를 끓여보자 잡내 안남! 구수하당!

다시국물 재료
다시용 멸치 한주먹
다시용 건새우 반주먹
다시마 (안 넣어도 됨)
대파 뿌리(3개)


대파 2개
양파 반개
표고버섯(넣어도 좋고 안 넣어도 괜찮음)
재래식된장(본인은 솔뫼된장, 서운암된장 2스푼씩 넣음)
물 1800ml
땡초 3개
다진마늘 한 숟가락

오늘 요리는 사진 순서대로 하면 된다!"
0|유독 올해 선거는 말이 많은것같다|그냥 다 터져서 그동안 있었던 악습 다 사라졌으면 좋겠다 정의를 위해 힘쓰는 분들 화이팅
0|정상적인 경남대학교를 위하여|"안녕하십니까 일어교육과 15학번 성새빛입니다.

정식적으로 경찰서에 옥외 집회 신고를 마친 상태이며, 내일 10시부터 유착관계 해명에 대한 서명을 받고 학교와 학생회에 전달 할 예정입니다.

오늘 11시 함께하는 분들과 선언문 낭독 후 쭉 서명을 받을 예정입니다.

우선, 신고는 정 후문 하였지만 정문에 테이블을 배치해 서명을 받을 예정이니 많은 관심 부탁드립니다."
0|중앙동아리 소속 학우들은 바보입니까|"안녕하십니까 저는 경영학부 17학번 김석호입니다.

우선 본문에 들어가기 앞서 타인을 비방하거나 명예를 훼손하려는 의도할 의도가 없으며,
제 억울함과 중앙동아리 활동 회원 그리고 경남대학교의 공공 이익을 위한 정보전달에 의도가 있음을 밝힙니다.

대한민국은 국가권력의 작용을 입법/행정/사법의 셋으로 나누어, 각각 별개의 기관에 권력을 분담시켜 상호간 견제, 균형을 유지시킴으로서 국가권력의 집중과 남용을 방지하려는
통치조직원리인 3권 분립 주의를 헌법으로 규정하고 있습니다. 이는 민주주의를 위해 한 몸 바치신 열사분들께서 이뤄주시고 지켜내신 소중한 제도입니다. 이를 바탕으로 부마항쟁의 역사가 있는 우리 경남대학교의 현 상황을 이야기 하고 싶습니다

저는 올해 6월말, 경영대학 후보자를 준비하였습니다. 저는 경영학부 학생회장을 역임했었고, 제가 느끼고 배웠던 모든 경험을 그대로 간직한 채 물러서기에는 많은 아쉬움이 남아 마지막 1년은 경영대학 학우분들의 아름다운 1년을 위해 쏟아보고 싶어 출마했습니다.

저는 저의 자신감과 노력과 학우분들을 위한 공약사항으로 공정하게 나아가고 싶었습니다.

2021년 9월 10일. 저는 현 경영대학 회장의 전화를 받고 현 총대의원회 의장의 자취방으로 향했습니다. 그곳엔 현 총학생회장, 현 총대의원회 의장, 현 동아리연합회 회장, 현 경영대학 회장 총 네 분이 자리하고 있었습니다. 그 분들은 저에게 “네가 경영대학 회장이 될 것 같냐?”, “네 주변의 지인들은 표가 없으며 너에게 도움 될 만한 애들이 아니다.” 라고 말하였고 차라리 자기 쪽 캠프를 타 폰 검사를 받고 일거수일투족을 얘기하며 자기들이 준비시켜주는 동아리연합회장을 시켜주겠다고 라인을 타라는 식의 제의를 하였습니다.

하지만 저는 중앙동아리 활동 경력이 전무하기에 동아리연합회장 자리를 거절하였습니다. 그 후 생각을 해보니 중아동아리 연합회장은 ‘동아리 회장단의 투표로 통해서 선출 되는 것이 아닌가?’ 라는 의문이 들었습니다.

이 후 9월 23일 현 총학생회장께서 총 대의원회 의장의 집으로 다시 불렀습니다. 그 곳에는 총 대의원회 의장, 공과대학 회장, 경영대학 회장이 있었고 제가 정중하게 거절했던 제의를 한번 더 제의하시며, “네가 이길 가능성이 없는데 도대체 왜 경영대회장을 준비하냐? 그냥 편하게 동아리연합회장을 준비해라 우리가 만들어주겠다. 지금 우리가 이렇게 모여있는 이유를 모르겠냐?” 라고 말하였습니다.

하지만 이해가 되지 않는 부분이 많습니다.

언제부터 동아리 연합회장과 같은 학생 간부의 직책이 현직 학생 간부가 임명하는 직책이었습니까?

총 대의원회 의장님
자신이 중립적이지 않다고 생각되는 부분이 있으면 중립적인 위치에 있는 주변인에게 자문을 구한 후 진행하였다. 라고 입장문에 말씀하셨는데 왜 중앙동아리연합회장의 제의하는 자리에 같이 있었습니까? 그것이 올바르지 않다고 생각했다면 그 자리에서 공적인 부분은 제지하시는게 옳지 않습니까? 아니면 그것이 총 대의원장님께서 생각하시는 중립입니까?

총 학생회장님, 그리고 본문에 언급된 학생간부여러분들
여러분들께서는 공정하고 깨끗한 선거를 했다고 당당하게 말 할 수 있습니까? “너는 나가봤자 당선 될리 만무하니, 우리가 만들어주는 중앙동아리연합회장을 해라” 라고 제의한 사람이 저 혼자 뿐 입니까?

중앙동아리 회장님들, 중앙동아리 회원분들에게 여쭤보고 싶습니다. 여러분들의 대표를 학생간부가 임명한다면 이게 올바른 중앙동아리를 위해 일할 수 있다고 생각합니까? 제 제목을 보시고 많은 생각을 하셨을거라고 생각됩니다. 글을 다 읽으신 지금 한번 더 여쭤보고 싶습니다. 중앙동아리 회원들은 바보입니까?

많이 무서웠습니다. 겁도 많이 났습니다. 하지만 이대로 제가 침묵하게 된다면 이후에도 이러한 유착관계가 세습되어, 학우분들이 많이 말씀하시는 그들만의 리그가 되어 학우 여러분들의 목소리를 대변하는 대표자가 아닌 그들의 인맥과 유착관계를 자랑하는 자리가 되는 것 같아 이렇게 목소리를 내게 되었습니다.

제 억울함과 경남대학교의 유착관계에 대해 많은 관심 가져주시면 감사하겠습니다.

긴 글 읽어주셔서 감사합니다."
0|졸업 전 마지막 선거를 본 소감|"저는 지난 4년 동안 선거같은 교내활동에 적극적으로 참여하지 않았습니다. 학생회비 또한 제출할 필요성을 느끼지 못 했기에 내지 않았습니다. 4년 동안 성적관리에만 신경쓰면서 대학생활을 보냈지만, 졸업을 앞둔 지금도 역시 그 필요성은 못 느끼겠습니다.

매회 선거기간이 오면 이전에는 저 또한 잘 알지 못하였고 상대방도 매한가지일 터인데, 학교 정문이나 학사건물 입구에서 반갑다는 듯 말을 걸어오기 시작하는 모습을 보면 상당히 재밌었습니다. 선거기간이 끝난 즉시 원상태로 돌아갈 그들의 모습과 꽤 이질감이 있으니까요.

저는 선거활동을 적극적으로 하거나, 타인에게 관심이 없는 것 자체를 비난하는 것이 아닙니다. 다만 일반적으로 그런 자리에 알맞는 사람이라면, 선거기간을 불문하고 지속적으로 유익한 활동을 해왔을 것이라고 생각합니다. 그렇다면 위에서 언급한 이질감을 느끼기 전에 학생들은 '어, 항상 열심히 활동하던 그 사람들이네!' 라고 생각하는 것이 일반적인 반응이 아닐까요? 굳이 선거기간에만 바뀌는 그런 모습은 그냥 당선이 되고 싶은건지, 정말 그 자리에서 열심히 활동해보고 싶은건지 오히려 헷갈리게 만드는 것 같습니다. 차라리 당선되게 해주면 햄버거를 사겠다던 초등학생 때의 반장선거가 조금 더 진솔하다고 느낄 정도입니다.

다른 점들은 제쳐두고 제가 이 글을 적게 된 원인이자 제일 허탈했던 점에 대해 언급하자면, 애초에 투표날 전화가 와서 투표 여부를 묻고
특정 인원의 투표를 유도하는게 정상이 맞는지 모르겠습니다. 선거활동기간도 아니고 투표기간에, 일반학생들이 투표를 하도록 돕고있는 인원들이 특정 대상의 당선을 지지하고 이를 유도한다는 사실이 저는 참 씁쓸하게 느껴졌습니다.

그동안 적극적으로 참여해온 것도 아닌 제가 그런 말을 할 자격이 있냐고 묻는다면, 글쎄요. 틀린 말은 아니기에 그렇다고 대답은 못 할 것 같습니다. 하지만 4년 동안 변하지 않았고 앞으로도 쭉 그런 일이 굴레처럼 남아있을 것 같다는 생각이 들어 괜시리 착잡한 마음에 써본 글이니 이해해주신다면 기쁘겠습니다. 남아있는 모두가 부디 즐겁고 밝은 기억만 남는 대학생활을 보낼 수 있기를 진심으로 바랍니다."
0|보리는 살아있다|실시간임
0|우리학교도 투표 좀 하지말자|그러면 자연스레 총학 없이 학교 굴러 갈 거고, 이상한 애들 당연히 걸러지는데 왜 투표를 하러 가냐ㅋㅋㅋ
0|다 모르겠고 학생회비 강제로 걷은 게|"사실인지 아닌지만 제대로 알고 싶당...카더라 말구
사실이면 어케 해명할 지 궁금하구"
